A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U
9943501702,https://smartstore.naver.com/magussa5/products/9943501702,https://www.ugg.com/women-sale-sneakers-flats/highland-hi-goretex/1130772.html,nan,UGG,"CHESTNUT,SAND,BLACK","CHESTNUT(US_5(220),US_6(230),US_7(240),US_8(250)),SAND(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_9(260),US_12(290)),BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_10(270),US_12(290))",2024/03/17/11:37:25,2024/03/17/11:37:25,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"CHESTNUT,SAND,BLACK","CHESTNUT(US_5(220),US_6(230),US_7(240),US_8(250)),SAND(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7.5(245),US_8(250),US_9(260),US_12(290)),BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_9(260),US_9.5(265),US_10(270),US_12(290))",nan,nan,nan,nan,nan,nan,nan,Highland Hi GoreTex,104.99
9943458642,https://smartstore.naver.com/magussa5/products/9943458642,https://www.ugg.com/women-sale-sneakers-flats/retrainer/1136855.html,nan,UGG,"FOREST NIGHT,BLACK / COCONUT MILK,DRIFTWOOD","FOREST NIGHT(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),BLACK / COCONUT MILK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),DRIFTWOOD(US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",2024/02/12/20:22:06,2024/03/17/11:39:41,변경 완료(가격만 변동),nan,nan,nan,nan,nan,nan,nan,nan,nan,ReTrainer,97.99
9943369364,https://smartstore.naver.com/magussa5/products/9943369364,https://www.ugg.com/women-sale-sneakers-flats/highland-hi-heritage-suede/1123714.html,nan,UGG,CHESTNUT / FIERY RED SUED,"CHESTNUT / FIERY RED SUED(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_10(270))",2024/03/15/21:01:52,2024/03/17/11:41:05,변경 완료(가격만 변동),CHESTNUT / FIERY RED SUED,"CHESTNUT / FIERY RED SUED(US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_11(280))",nan,nan,nan,nan,nan,nan,nan,Highland Hi Heritage Suede,83.99
9943028765,https://smartstore.naver.com/magussa5/products/9943028765,https://www.ugg.com/women-sale-sneakers-flats/highland-hi-heritage/1112281.html,nan,UGG,"CHESTNUT,BLACK","CHESTNUT(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270)),BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",2024/02/24/21:34:41,2024/03/17/11:42:56,변경 완료(가격만 변동),"CHESTNUT,BLACK","CHESTNUT(US_5(220),US_05.5(225),US_6(230),US_06.5(235),US_7(240),US_07.5(245),US_8(250),US_08.5(255),US_9(260),US_09.5(265),US_10(270)),BLACK(US_5(220),US_05.5(225),US_6(230),US_06.5(235),US_7(240),US_07.5(245),US_8(250),US_08.5(255),US_9(260),US_09.5(265),US_10(270),US_11(280),US_12(290))",nan,nan,nan,nan,nan,nan,nan,Highland Hi Heritage,83.99
9943018447,https://smartstore.naver.com/magussa5/products/9943018447,https://www.ugg.com/all-gender-footwear/goldencush-lt/1152758.html,nan,UGG,"WHITE,BLACK","WHITE(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_12.5(0),US_14(310)),BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310))",2024/03/15/21:06:32,2024/03/17/11:44:47,변경 완료(가격만 변동),"WHITE,BLACK","WHITE(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_12.5(0),US_13(300),US_14(310)),BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_14(310))",nan,nan,nan,nan,nan,nan,nan,Goldencush LT,140.0
9943007911,https://smartstore.naver.com/magussa5/products/9943007911,https://www.ugg.com/all-gender-footwear/goldencush/1152719.html,nan,UGG,"CHESTNUT / BLACK,CERAMIC,SAND","CHESTNUT / BLACK(US_4(210),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310)),CERAMIC(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_12.5(0),US_13(300),US_14(310)),SAND(US_4(210),US_4.5(0),US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_12.5(0),US_13(300),US_14(310))",2024/03/17/11:47:21,2024/03/17/11:47:21,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"CHESTNUT / BLACK,CERAMIC,SAND","CHESTNUT / BLACK(US_4(210),US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_13(300),US_14(310)),CERAMIC(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_12.5(0),US_13(300),US_14(310)),SAND(US_4(210),US_4.5(0),US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_10.5(275),US_11(280),US_11.5(285),US_12(290),US_12.5(0),US_13(300),US_14(310))",nan,nan,nan,nan,nan,nan,nan,Goldencush,160.0
9942996742,https://smartstore.naver.com/magussa5/products/9942996742,https://www.ugg.com/women-casuals-sneakers/la-alto-lace/1123715.html,nan,UGG,"ROSE GREY,GOAT","ROSE GREY(US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_9.5(265)),GOAT(US_6.5(235),US_7(240),US_8(250))",2024/03/17/11:49:30,2024/03/17/11:49:30,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"ROSE GREY,GOAT","ROSE GREY(US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_9.5(265),US_10(270)),GOAT(US_6.5(235),US_7(240),US_8(250))",nan,nan,nan,nan,nan,nan,nan,LA Alto Lace,120.0
9942976216,https://smartstore.naver.com/magussa5/products/9942976216,https://www.ugg.com/women-casuals-sneakers/ca1-leather/1142630.html,nan,UGG,"BLACK,WHITE","BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),WHITE(US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",2024/02/24/21:49:05,2024/03/17/11:51:20,변경 완료(가격만 변동),"BLACK,WHITE","BLACK(US_5(220),US_05.5(225),US_6(230),US_06.5(235),US_7(240),US_07.5(245),US_8(250),US_08.5(255),US_9(260),US_09.5(265),US_10(270),US_11(280),US_12(290)),WHITE(US_5(220),US_05.5(225),US_6(230),US_06.5(235),US_7(240),US_07.5(245),US_8(250),US_08.5(255),US_9(260),US_09.5(265),US_10(270),US_11(280),US_12(290))",nan,nan,nan,nan,nan,nan,nan,CA1 Leather,140.0
9942964427,https://smartstore.naver.com/magussa5/products/9942964427,https://www.ugg.com/women-casuals-sneakers/alameda-sammy/1136841.html,nan,UGG,"WHITE,BLACK","WHITE(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",2024/03/15/21:17:44,2024/03/17/11:53:11,변경 완료(가격만 변동),"WHITE,BLACK","WHITE(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_12(290)),BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",nan,nan,nan,nan,nan,nan,nan,Alameda Sammy,110.0
9942815435,https://smartstore.naver.com/magussa5/products/9942815435,https://www.ugg.com/women-casuals-sneakers/alameda-slip-on/1130779.html,nan,UGG,"BLACK,BRIGHT WHITE","BLACK(US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),BRIGHT WHITE(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",2024/03/15/21:20:43,2024/03/17/11:55:03,변경 완료(가격만 변동),"BLACK,BRIGHT WHITE","BLACK(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),BRIGHT WHITE(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",nan,nan,nan,nan,nan,nan,nan,Alameda Slip On,110.0
9942803039,https://smartstore.naver.com/magussa5/products/9942803039,https://www.ugg.com/women-casuals-sneakers/ez-duzzit-lace/1152717.html,nan,UGG,"WHITE,BLACK","WHITE(US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),BLACK(US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280))",2024/03/15/21:23:45,2024/03/17/11:56:54,변경 완료(가격만 변동),"WHITE,BLACK","WHITE(US_5(220),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),BLACK(US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280))",nan,nan,nan,nan,nan,nan,nan,EZ-Duzzit Lace,130.0
9942791213,https://smartstore.naver.com/magussa5/products/9942791213,https://www.ugg.com/women-casuals-sneakers/ez-duzzit-mule/1152756.html,nan,UGG,"WHITE,BLACK,SAND,TEACUP ROSE","WHITE(US_9.5(265),US_10(270),US_11(280)),BLACK(US_5(220),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280)),SAND(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),TEACUP ROSE(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",2024/03/17/11:59:59,2024/03/17/11:59:59,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"WHITE,BLACK,SAND,TEACUP ROSE","WHITE(US_6.5(235),US_7(240),US_8(250),US_10(270),US_11(280)),BLACK(US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280)),SAND(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290)),TEACUP ROSE(US_5(220),US_5.5(225),US_6(230),US_6.5(235),US_7(240),US_7.5(245),US_8(250),US_8.5(255),US_9(260),US_9.5(265),US_10(270),US_11(280),US_12(290))",nan,nan,nan,nan,nan,nan,nan,EZ-Duzzit Mule,120.0
9942777916,https://smartstore.naver.com/magussa5/products/9942777916,https://www.ugg.com/women-sale-slippers/scuffette-ii/1106872S.html,nan,UGG,MOSS GREEN,"MOSS GREEN(US_5(220),US_6(230),US_7(240))",2024/03/15/21:30:12,2024/03/15/21:30:12,품절 상태로 변경 완료,MOSS GREEN,MOSS GREEN(US_5(220)),nan,nan,nan,nan,nan,nan,nan,Scuffette II,65.99
9942731610,https://smartstore.naver.com/magussa5/products/9942731610,https://www.ugg.com/women-sale-slippers/scuffette-ii-speckles/1151833.html,nan,UGG,CHESTNUT,CHESTNUT(US_5(220)),2024/03/15/21:32:37,2024/03/17/12:01:23,변경 완료(가격만 변동),CHESTNUT,"CHESTNUT(US_5(220),US_8(250))",nan,nan,nan,nan,nan,nan,nan,Scuffette II Speckles,72.99
9942720100,https://smartstore.naver.com/magussa5/products/9942720100,https://www.ugg.com/women-sale-slippers/maxi-curly-slide/1133151.html,nan,UGG,BLACK,BLACK(US_5(220)),2024/03/15/21:35:36,2024/03/17/12:02:48,변경 완료(가격만 변동),"PINK GLOW,BLACK","PINK GLOW(US_5(220)),BLACK(US_5(220),US_7(240),US_8(250))",nan,nan,nan,nan,nan,nan,nan,Maxi Curly Slide,76.99
9942634458,https://smartstore.naver.com/magussa5/products/9942634458,https://www.ugg.com/women-sale-slippers/dakota/1107949S.html,nan,UGG,LILAC MAUVE,"LILAC MAUVE(US_5(220),US_6(230),US_7(240))",2024/03/17/12:04:34,2024/03/17/12:04:34,변경 완료(이전과 동일하지 않아)(가격과 사이즈),LILAC MAUVE,"LILAC MAUVE(US_5(220),US_6(230),US_7(240),US_8(250))",nan,nan,nan,nan,nan,nan,nan,Dakota,76.99
9942624330,https://smartstore.naver.com/magussa5/products/9942624330,https://www.ugg.com/women-sale-slippers/scuffette-ii-mirror-ball/1151290.html,nan,UGG,"SILVER,WILD GRAPE","SILVER(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260)),WILD GRAPE(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_11(280))",2024/03/17/12:06:45,2024/03/17/12:06:45,변경 완료(이전과 동일하지 않아)(가격과 사이즈),"SILVER,WILD GRAPE","SILVER(US_5(220),US_6(230),US_7(240),US_8(250),US_9(260),US_10(270)),WILD GRAPE(US_5(220),US_6(230),US_7(240),US_8(250),US_10(270),US_11(280))",nan,nan,nan,nan,nan,nan,nan,Scuffette II Mirror Ball,72.99
